Page                     Page Rank                No. of Outlinks          No. of Inlinks           
WT21-B37-76              0.0026944721928214834    5                        2568                     
WT21-B37-75              0.0015331778628558438    1                        1704                     
WT25-B39-116             0.0014685057966207272    1                        169                      
WT23-B21-53              0.0013735300824350115    1                        198                      
WT24-B26-10              0.0012761905000566024    1                        291                      
WT24-B40-171             0.0012452395797638502    209                      270                      
WT23-B39-340             0.0012428403825888571    395                      274                      
WT23-B37-134             0.001205424961990078     2                        207                      
WT08-B18-400             0.0011447767580613562    0                        990                      
WT13-B06-284             0.0011365537349822701    2                        454                      
WT13-B06-273             0.0010549206571305288    11                       452                      
WT01-B18-225             0.0009553815023969663    0                        1137                     
WT04-B27-720             0.0009409593071405743    27                       291                      
WT24-B26-46              0.0008622341748462102    3                        179                      
WT23-B19-156             0.0008250688886104052    12                       364                      
WT04-B30-12              0.0008166221014855998    8                        241                      
WT25-B15-307             0.0007972232054795375    8                        605                      
WT07-B18-256             0.0007749863183362082    169                      169                      
WT24-B40-167             0.0007075926906185254    152                      153                      
WT14-B03-220             0.0006988523521051158    162                      163                      
WT18-B31-240             0.0006942222412473177    31                       259                      
WT14-B03-227             0.000685264330905691     147                      148                      
WT04-B40-202             0.0006846776005799302    36                       322                      
WT08-B19-222             0.0006495322976686876    1                        1041                     
WT23-B20-363             0.0006396312842787293    193                      181                      
WT27-B28-203             0.0006270792064078231    2                        589                      
WT13-B39-295             0.000621536291232612     19                       443                      
WT13-B15-160             0.0006198583337838081    0                        484                      
WT12-B30-56              0.0006024568882812263    7                        174                      
WT10-B02-288             0.0005844499755885853    18                       193                      
WT14-B36-337             0.0005617088922018444    5                        417                      
WT21-B40-37              0.0005471874536775304    0                        201                      
WT21-B35-155             0.0005456982810309239    7                        174                      
WT23-B01-40              0.0005408495851816505    39                       147                      
WT08-B08-60              0.0005361199215914047    39                       175                      
WT22-B38-403             0.0005335774773715937    27                       273                      
WT13-B39-321             0.0005328919518072518    19                       52                       
WT04-B22-268             0.000532843964966692     109                      113                      
WT14-B02-400             0.0005327635697798762    114                      115                      
WT18-B14-66              0.0005295564581253644    135                      150                      
WT06-B14-69              0.0005191635431572921    1                        57                       
WT23-B38-120             0.0005186640367361961    395                      116                      
WT06-B35-151             0.0005169272027790604    11                       255                      
WT10-B33-300             0.00051677377855203      0                        406                      
WT14-B36-323             0.0005158634151509789    13                       368                      
WT14-B36-334             0.0005158634151509789    6                        368                      
WT14-B36-335             0.0005158634151509789    6                        368                      
WT14-B36-336             0.0005158634151509789    5                        368                      
WT06-B35-161             0.0005150212424136301    11                       253                      
WT27-B20-494             0.0005144777403579519    15                       121                      
WT23-B38-87              0.0005138122609611595    1                        1                        
WT27-B34-57              0.00050641351569401      623                      630                      
WT27-B32-30              0.0005006797843586204    0                        628                      
WT04-B40-238             0.0004983037841321836    21                       311                      
WT23-B27-31              0.0004944024771826539    42                       194                      
WT07-B15-48              0.0004893737342269266    12                       235                      
WT21-B40-442             0.0004862008115113378    0                        4                        
WT11-B02-164             0.00048319096634936217   20                       183                      
WT21-B37-70              0.000476275773434429     25                       3                        
WT21-B37-72              0.0004756082093806435    2                        2                        
WT22-B14-357             0.00047460386152949264   7                        280                      
WT04-B34-218             0.00046287707568455063   24                       141                      
WT14-B03-221             0.0004623296201014964    104                      105                      
WT12-B09-105             0.0004504806880813907    500                      234                      
WT15-B07-95              0.00044012912878424394   18                       205                      
WT21-B03-285             0.0004220365111307436    15                       189                      
WT18-B28-345             0.0004213559565402528    30                       250                      
WT27-B28-177             0.0004195033177988576    20                       461                      
WT11-B19-232             0.0004164493284148615    9                        161                      
WT11-B19-250             0.00041560462129939044   2                        160                      
WT20-B39-148             0.0004134337492987447    8                        168                      
WT25-B31-102             0.0004089265367523322    90                       90                       
WT23-B23-51              0.0004028364052753121    136                      400                      
WT21-B01-46              0.00039403436527585045   6                        154                      
WT14-B14-78              0.0003919454060550453    1                        64                       
WT06-B09-17              0.00038943782857556733   94                       101                      
WT23-B27-29              0.0003854903671711774    0                        388                      
WT06-B14-163             0.0003749879657268151    1                        44                       
WT10-B30-205             0.0003727569166823245    10                       157                      
WT12-B37-314             0.0003724025568816403    1                        45                       
WT13-B02-184             0.0003711946958788487    20                       159                      
WT13-B16-437             0.0003701764194864411    12                       291                      
WT08-B24-319             0.0003691044302275444    1                        287                      
WT12-B34-116             0.0003688760239606391    4                        178                      
WT24-B26-2               0.0003680174625157582    2                        320                      
WT25-B17-38              0.00036415675024825233   43                       161                      
WT20-B03-150             0.00036290675017463565   33                       145                      
WT14-B04-105             0.00035978119635374586   78                       79                       
WT07-B23-234             0.0003568184649227153    21                       234                      
WT14-B14-85              0.0003549254412407146    1                        4                        
